Name,Date,Location/City,State,Category,Distance,Website/Registration Link,Contact Email,Summary
Slippery Slope 5K Series,01/04/20,Lake Placid,New York,running,5km,https://endurancecui.active.com/new/events/66450653/select-race?e4p=2649bfc9-9894-4ba3-b945-fc97cc955653&e4ts=1576217677&e4q=e65df9b0-f59d-4ad5-b3df-f9e34d12bf9c&e4c=active&e4e=snawe00000000&e4h=d419c22810931505b124267f212dc353&regnow=awe-regnow&e4rt=Safetynet&_p=9479860087834504,,"The series, called the Slippery Slope 5K, will be comprised of three races throughout the months of January, February, and March. Participants may preregister for all three races at a discounted rate, or sign up for each race individually. Participants may race in any number of races in the series."
Tom Hamlin January Freeze 10K Series,01/04/20,Binghamton,New York,running,10km,https://runsignup.com/Race/Register/?raceId=10643&eventId=363178,,"Races start at 10:00 AM with race day registration starting at 9:00 AM. Free to 2020 TCRC members or $10 for non-members to cover all four races. Winners each week (Men & Women) will receive an award (no duplication of weekly awards) and there will be overall awards at the end of the series. To be eligible for the overall award, you must participate in a minimum of 3 races."
Winter Warrior Half Marathon,01/04/20,Rochester,New York,running,13.1mi,https://runsignup.com/Race/NY/Rochester/WinterWarriorHalfMarathon,,The Half Marathon course will be made up of 4 loops at approx. 3.3miles each. The course will be open to (limited) traffic. The Winter Warrior Half Marathon is a certified course.
Winter Warrior Quarter Marathon,01/04/20,Rochester,New York,running,10.5km,https://runsignup.com/Race/NY/Rochester/WinterWarriorHalfMarathon,,The Half Marathon course will be made up of 4 loops at approx. 3.3miles each. The course will be open to (limited) traffic. The Winter Warrior Half Marathon is a certified course.
Polar Cats Winter Race Series,01/05/20,Rochester,New York,running,5km,https://runsignup.com/Race/Register/?raceId=84040,,"Don't let the cold weather stop you, come run in the return of the Polar Cats Winter Race Series!"
Winter Chill 5K - #1,01/05/20,Ithaca,New York,running,5km,https://www.webscorer.com/registerseries?pid=1&seriesid=203654,smdrumheller@gmail.com,The Winter Chill 5K Series is an excuse to get out of the house every Sunday in January and run a low-key race with fellow FLRC members. The weather at these races can range from downright balmy to wonderfully wintry.
City Running Tours - America's Roots Running Tour,01/07/20,New York,New York,running,4.5mi,https://www.active.com/new-york-ny/running/distance-running/city-running-tours-america-s-roots-running-tour-2020?afid=156210&ltcmp=254301&ltclickid=12_45425790_de7acafc-a3e5-41d0-a185-9812465e26a6&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,runners@cityrunningtours.com,"Explore the roots of America through events that occurred in New York City from the time the city was an early Dutch Settlement, through British Rule, Revolution and the birth of a new Nation."
NYRR Night at the Races,01/09/20,New York,New York,running,5km,https://runsignup.com/Race/Register/?raceId=54395,james@armorytrack.com,"Meets are open to Open, Club and Collegiate runners 18 and over. No minors or High School students permitted."
NYRR Night at the Races,01/09/20,New York,New York,running,10km,https://runsignup.com/Race/Register/?raceId=54395,james@armorytrack.com,"Meets are open to Open, Club and Collegiate runners 18 and over. No minors or High School students permitted."
City Running Tours - Brooklyn Bridge Running Tour,01/10/20,New York,New York,running,4.3mi,https://www.active.com/new-york-ny/running/distance-running/city-running-tours-brooklyn-bridge-running-tour-2020-60889495?afid=156210&ltcmp=254301&ltclickid=12_45425525_f21de3e4-0cfd-475d-8cd7-e22e59f519b8&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,runners@cityrunningtours.com,"The Brooklyn Bridge is the most iconic landmark in all of New York. At any time of day The Bridge provides great views of Manhattan and Brooklyn and offers a look back at the origins of modern day New York City, when Manhattan and Brooklyn were still separate cities. This short run covers a lot of landmarks, taking you over the Brooklyn Bridge and back on the Manhattan Bridge, then through the streets of Chinatown and The Five Point Area, before finishing up downtown in front of City Hall."
Fleet Feet Howl at the Moon Night Run,01/10/20,Poughkeepsie,New York,running,5km,https://runsignup.com/Race/Register/?raceId=83946,,"Wolf Pack: A group that lives, feeds and travels together as a family group. Let's celebrate how amazing our Fleet Feet ""Wolf Pack"" is on Friday, January 10th at 6pm, the evening of the first full moon of 2020!"
GRTC Freezeroo Race - Pineway Ponds Park,01/11/20,Spencerport,New York,running,5mi,https://runsignup.com/Race/Register/?raceId=13639&eventId=346305,Freezeroo@grtconline.org,"It is a series of six winter races directed by GRTC, with the assistance of some of the local informal running groups (Sal’s Runners, Gold Rush Runners, Oven Door Runners, and the Bagel Bunch Runners). The races are intended to be low-key and fun! Prizes are awarded at the last race of the series to the top three overall and age group winners."
Resolution Run 4 miler,01/11/20,Staten Island,New York,running,4mi,https://completerace.ticketleap.com/resrun2020/t/CRSsitereg/,,Beautiful woods to run through with winding streams and challenging pathways to the finish line in Bloomingdale Park. Located on the South Shore of Staten Island this park managed by the NYC Parks department is a hidden jewel.
Tom Hamlin January Freeze 10K Series,01/11/20,Binghamton,New York,running,10km,https://runsignup.com/Race/Register/?raceId=10643,,"Races start at 10:00 AM with race day registration starting at 9:00 AM. Free to 2020 TCRC members or $10 for non-members to cover all four races. Winners each week (Men & Women) will receive an award (no duplication of weekly awards) and there will be overall awards at the end of the series. To be eligible for the overall award, you must participate in a minimum of 3 races."
Winter Wimp,01/11/20,Hagaman,New York,running,4.4mi,https://www.zippyreg.com/online_reg/index.php?e=1343,bill.platt@fmrrc.org,A portion of the entry fee goes to the club's James R. Dern Memorial Scholarship Fund.
Winter Wimp,01/11/20,Hagaman,New York,running,2.2mi,https://www.zippyreg.com/online_reg/index.php?e=1343,bill.platt@fmrrc.org,A portion of the entry fee goes to the club's James R. Dern Memorial Scholarship Fund.
Chilly Chili 5K,01/12/20,Cazenovia,New York,running,5km,https://runsignup.com/Race/Register/?raceId=26931,,"Chili Cook-Off Party, Live music, festive beverages, plenty of awards, and chili galore round out the race day festivities."
FLRC Indoor Track Meet,01/12/20,Ithaca,New York,running,**,https://www.directathletics.com/meets/track/63562.html,ace@tidbits.com,"Looking for a break from the cold, wet, lonely days of winter running? Come run FLRC’s winter track meets at Cornell University’s Barton Hall, where it’s always warm and dry, and where you can test your fitness on Cornell’s state-of-the-art 200-meter rubberized track."
HMRRC Winter Series - #3,01/12/20,Albany,New York,running,3mi,https://www.hmrrc.com/race-info/race-schedule,thomas.james.ogrady@gmail.com,"This is a club race, free for members."
HMRRC Winter Series - #3,01/12/20,Albany,New York,running,10km,https://www.hmrrc.com/race-info/race-schedule,thomas.james.ogrady@gmail.com,"This is a club race, free for members."
HMRRC Winter Series - #3,01/12/20,Albany,New York,running,25km,https://www.hmrrc.com/race-info/race-schedule,thomas.james.ogrady@gmail.com,"This is a club race, free for members."
Mendon Ponds Winterfest Snowshoe Races,01/12/20,Rochester,New York,running,8km,https://ultrasignup.com/register.aspx?did=72252,,"The Winterfest snowshoe race is a low-frills events. We will have some light refreshments post-race, but will not be giving awards. The races is open to everyone including those planning on attending the US Snowshoe Association National Championships."
NYCRUNS Cocoa Classic Central Park,01/12/20,New York,New York,running,4mi,https://nycruns.com/register-race/?race=nycruns-central--park-cocoa-classic-4-miler,theteam@nycruns.com,NYCRUNS kicks off 2019 in wintry Central Park with a quick 4 miler! Join us and enjoy a steaming mug of hot cocoa at the finish.
Orange Runners Club Winter Series Race,01/12/20,Middletown,New York,running,5km,http://www.orangerunnersclub.org/winterseries.htm#,val.kilcoin@gmail.com,The Winter Series has been around in one form or another for about as long as the Orange Runners Club and arises to fill a need for us to test our ability to brave the elements and his/her fitness level at the time of year when many runners have put the running shoes up or have traded outside running activity for trips to the gym.
Winter Chill 5K - #2,01/12/20,Ithaca,New York,running,5km,https://www.webscorer.com/registerseries?pid=1&seriesid=203654,smdrumheller@gmail.com,The Winter Chill 5K Series is an excuse to get out of the house every Sunday in January and run a low-key race with fellow FLRC members. The weather at these races can range from downright balmy to wonderfully wintry.
City Running Tours - America's Roots Running Tour,01/14/20,New York,New York,running,4.5mi,https://www.active.com/new-york-ny/running/distance-running/city-running-tours-america-s-roots-running-tour-2020-60437909?afid=156210&ltcmp=254301&ltclickid=12_45532097_793957ec-a976-43eb-9a9d-6b8ed9cbcd4e&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,runners@cityrunningtours.com,The running tour begins and ends at the Castle Clinton in Battery Park (meet directly in front of main entrance).
Snow Cheap Winter Trail Series - Race #1,01/15/20,Rochester,New York,running,3mi,https://runsignup.com/Race/NY/Rochester/SnowCheap,,"Join us for this super-cool, mid-week, low-key winter fun trail race series! There are 4 races offered in January - February. You can register for each race separately, or commit to the entire series."
City Running Tours - Brooklyn Bridge Running Tour,01/17/20,New York,New York,running,4mi,https://www.active.com/new-york-ny/running/distance-running/city-running-tours-brooklyn-bridge-running-tour-2020-60890731?cdg=affiliate-254301&cmp=39N-DP260-BND10-SD230-DM20&ltclickid=12_45549688_ce073977-95b6-4fa3-a933-28eba208db28&ltcmp=254301&afid=156210,runners@cityrunningtours.com,"The Brooklyn Bridge is the most iconic landmark in all of New York. At any time of day The Bridge provides great views of Manhattan and Brooklyn and offers a look back at the origins of modern day New York City, when Manhattan and Brooklyn were still separate cities."
5K for a Cure,01/18/20,Kings Park,New York,running,5km,https://runsignup.com/Race/NY/KingsPark/5kforaCure?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,We will be hosting a 5k benefitting ALS research and the fight for a cure. The races will meet in the Sunken Meadow State Park Field 3 parking lot.
Chautauqua Striders Winter 5K Series,01/18/20,Celoron,New York,running,5km,https://runsignup.com/Race/Register/?raceId=40009,,"The Chautauqua Striders Winter 5K Series is an “age-graded” race series. Age-grading levels the playing field for all runners, just as a “handicap” is intended to do in bowling and golf. It provides the runner with the percentage value of an ""ideal"" or best time for his or her age and gender."
Run To The Blue Point Brewery,01/18/20,Patchogue,New York,running,10mi,https://runsignup.com/Race/RegistrationLookup/?raceId=39992,info@glirc.org,"A USATF sanctioned event over a USATF certified course covering a flat and pleasant 10 miles through the suburban roads of Patchogue, Blue Point and Bayport."
Tom Hamlin January Freeze 10K Series,01/18/20,Binghamton,New York,running,10km,https://runsignup.com/Race/Register/?raceId=10643&eventId=363178,,"Participants are encouraged to join the TCRC or renew their membership for 2020. USAT&F Certified 10K course (NY10064JG) consists of a starting piece plus 3 times a 1.965 mile loop, all on park roads."
HMRRC Winter Series - #4,01/19/20,Albany,New York,running,30km,https://www.hmrrc.com/race-info/race-schedule,jmerlis@areep.com,"This is a club race, free for members."
HMRRC Winter Series - #4,01/19/20,Albany,New York,running,15km,https://www.hmrrc.com/race-info/race-schedule,jmerlis@areep.com,"This is a club race, free for members."
HMRRC Winter Series - #4,01/19/20,Albany,New York,running,3mi,https://www.hmrrc.com/race-info/race-schedule,jmerlis@areep.com,"This is a club race, free for members."
NYRR Fred Lebow Half Marathon,01/19/20,New York,New York,running,13.1mi,https://www.nyrr.org/races/nyrrfredlebowhalfmarathon,help@nyrr.org,"This race honors the late NYRR president and New York City Marathon co-founder, Fred Lebow (1932–1994). The course is two-plus loops of Central Park, which can be a challenge in January!"
Winter Chill 5K - #3,01/19/20,Ithaca,New York,running,5km,https://www.webscorer.com/registerseries?pid=1&seriesid=203654,smdrumheller@gmail.com,The Winter Chill 5K Series is an excuse to get out of the house every Sunday in January and run a low-key race with fellow FLRC members. The weather at these races can range from downright balmy to wonderfully wintry.
City Running Tours - America's Roots Running Tour,01/21/20,New York,New York,running,4.5mi,https://www.active.com/new-york-ny/running/distance-running/city-running-tours-america-s-roots-running-tour-2020-60437961?afid=156210&ltcmp=254301&ltclickid=12_45584450_d950612f-94fa-46ed-9da1-d0181fcae7ef&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,runners@cityrunningtours.com,"Explore the roots of America through events that occurred in New York City from the time the city was an early Dutch Settlement, through British Rule, Revolution and the birth of a new Nation. You will see how immigration influenced and made up the very foundation of the city."
NYRR Night at the Races #3,01/23/20,New York,New York,running,5km,https://runsignup.com/Race/NY/NewYork/NYRRNightattheRaces3,james@armorytrack.com,"Meets are open to Open, Club and Collegiate runners 18 and over. No minors or High School students permitted. Spectators must pay a $12 admission fee in the lobby before coming upstairs."
City Running Tours - Brooklyn Bridge Running Tour,01/24/20,New York,New York,running,4.3mi,https://www.active.com/new-york-ny/running/distance-running/city-running-tours-brooklyn-bridge-running-tour-2020-60890760?cdg=affiliate-254301&cmp=39N-DP260-BND10-SD230-DM20&ltclickid=12_45965880_a28abd3b-3f87-492a-8106-f3264b7987ce&ltcmp=254301&afid=156210,runners@cityrunningtours.com,"This short run covers a lot of landmarks, taking you over the Brooklyn Bridge and back on the Manhattan Bridge, then through the streets of Chinatown and The Five Point Area, before finishing up downtown in front of City Hall."
GRTC Freezeroo Race - The Hearnish 5M,01/25/20,Victor,New York,running,5mi,https://runsignup.com/Race/Register/?raceId=13639&eventId=346306,Freezeroo@grtconline.org,"It is a series of six winter races directed by GRTC, with the assistance of some of the local informal running groups (Sal’s Runners, Gold Rush Runners, Oven Door Runners, and the Bagel Bunch Runners). The races are intended to be low-key and fun!"
Hartshorne Memorial Masters Mile,01/25/20,Ithaca,New York,running,1mi,https://www.webscorer.com/register?raceid=201611,info@fingerlakesrunners.org,"One of the premier masters running events in the country, the Hartshorne Memorial Masters Mile attracts some of the best national and international talent. Numerous world and American indoor mile age-group records have been set at the meet over the years. It’s an exciting race to watch, with top local runners dueling with out-of-town challengers and masters runners in their 40s, 50s, 60s, 70s, 80s, and 90s showing us what they can do."
Pond Hockey Trail Run and Snowshoe Race,01/25/20,Chenango Forks,New York,running,3.8mi,https://runsignup.com/Race/Register/?raceId=41845,,"Trail race through Chenango Valley State Park during the Binghamton Pond Festival. Some dirt road, some single track trail, a couple road crossings. Approximately 2 and a half miles. Expect snow and ice on the trail. No water stops, so if you will need support on the trail, please consider bringing your own water bottle."
Tom Hamlin January Freeze 10K Series,01/25/20,Binghamton,New York,running,10km,https://runsignup.com/Race/Register/?raceId=10643&eventId=363178,,Participants are encouraged to join the TCRC or renew their membership for 2020.
Frietchen Is 50 5K,01/26/20,Brooklyn,New York,running,5km,https://runsignup.com/Race/Register/?raceId=82664,info@trilatino.org,"This event benefits the amazing TriLatino Junior Team, which provides coaching and gear to Bronx-based teenagers each year, culminating in a sprint triathlon. The biggest need is money to buy second-hand bikes for participants. Registration for the 5K will be at 'cost' to cover permits and insurance, and you'll be invited to add a tax-deductible donation to the Junior Team."
Icebreaker Half Marathon,01/26/20,East Meadow,New York,running,13.1mi,https://runsignup.com/Race/Register/?raceId=51255,info@glirc.org,"Yes, we know it’s January, but you would be probably be going out for a long Sunday run anyhow, so why not do it at Eisenhower Park with some congenial company? Unique medals to finishers of both the full and half marathon!!!"
Icebreaker Marathon,01/26/20,East Meadow,New York,running,26.2mi,https://runsignup.com/Race/Register/?raceId=51255,info@glirc.org,"Yes, we know it’s January, but you would be probably be going out for a long Sunday run anyhow, so why not do it at Eisenhower Park with some congenial company? Unique medals to finishers of both the full and half marathon!!!"
Orange Runners Club Winter Series Race,01/26/20,Middletown,New York,running,5km,http://www.orangerunnersclub.org/winterseries.htm#,,The Winter Series has been around in one form or another for about as long as the Orange Runners Club and arises to fill a need for us to test our ability to brave the elements and his/her fitness level at the time of year when many runners have put the running shoes up or have traded outside running activity for trips to the gym.
Stone Wall Snowshoe Event,01/26/20,Mannsville,New York,running,5km,https://www.runreg.com/the-stone-wall-5k-snowshoe,info@winonaforest.com,The biggest party on snow! The highlight of the winter season! Be sure NOT to miss it - Winona Forest's Stone Wall Snowshoe Event!
Stone Wall Snowshoe Event,01/26/20,Mannsville,New York,running,10km,https://www.runreg.com/the-stone-wall-5k-snowshoe,info@winonaforest.com,The biggest party on snow! The highlight of the winter season! Be sure NOT to miss it - Winona Forest's Stone Wall Snowshoe Event!
Winter Chill 5K - #4,01/26/20,Ithaca,New York,running,5km,https://www.webscorer.com/registerseries?pid=1&seriesid=203654,smdrumheller@gmail.com,The Winter Chill 5K Series is an excuse to get out of the house every Sunday in January and run a low-key race with fellow FLRC members. The weather at these races can range from downright balmy to wonderfully wintry.
City Running Tours - America's Roots Running Tour,01/28/20,New York,New York,running,4.5mi,https://endurancecui.active.com/new/events/60944652/select-race?ltcmp=254301&regnow=awe-regnow&ltclickid=12_46000718_217694b3-9ad0-471d-b4d1-d719f7870fce&_p=7966463947098346,runners@cityrunningtours.com,"Explore the roots of America through events that occurred in New York City from the time the city was an early Dutch Settlement, through British Rule, Revolution and the birth of a new Nation. You will see how immigration influenced and made up the very foundation of the city."
Snow Cheap Winter Trail Series - Race #2,01/29/20,Rochester,New York,running,5km,https://runsignup.com/Race/Register/?raceId=5424&eventId=352794,,"Join us for this super-cool, mid-week, low-key winter fun trail race series! There are 4 races offered in January - February. You can register for each race separately, or commit to the entire series."
City Running Tours - Brooklyn Bridge Running Tour,01/31/20,New York,New York,running,4.3mi,https://www.active.com/new-york-ny/running/distance-running/city-running-tours-brooklyn-bridge-running-tour-2020-60890765?afid=156210&ltcmp=254301&ltclickid=12_46011709_47406e1c-aff0-42f0-b76c-69e07e963911&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,runners@cityrunningtours.com,"The Brooklyn Bridge is the most iconic landmark in all of New York. At any time of day The Bridge provides great views of Manhattan and Brooklyn and offers a look back at the origins of modern day New York City, when Manhattan and Brooklyn were still separate cities."
Long Beach Snowflake 4 Mile Run,02/01/20,Long Beach,New York,running,4mi,https://runsignup.com/Register/?raceId=39490,pferrante@longbeachny.gov,Start & finish on New York Avenue and the boardwalk. Accurately measured flat and fast course. Race timing by Start To Finish Corporation.
NYCRUNS Frozen Penguin,02/01/20,New York,New York,running,5km,https://www.active.com/new-york-ny/running/distance-running-races/nycruns-frozen-penguin-5k-and-10k-2020?cdg=affiliate-254301&cmp=39N-DP260-BND10-SD230-DM20&ltclickid=12_46087874_2faf3ea0-2e98-47c7-b4b1-dddd96a4dfd6&ltcmp=254301&afid=156210,theteam@nycruns.com,"We like to joke that the weather in NYC this time of year is fit for penguins, but the truth is, it’s also for runners of all levels. Snag a new 5K or 10K PR or simply add another race to your list; either way, this race in Riverside Park is calling your name Chilly Willy."
NYCRUNS Frozen Penguin,02/01/20,New York,New York,running,10km,https://www.active.com/new-york-ny/running/distance-running-races/nycruns-frozen-penguin-5k-and-10k-2020?cdg=affiliate-254301&cmp=39N-DP260-BND10-SD230-DM20&ltclickid=12_46087874_2faf3ea0-2e98-47c7-b4b1-dddd96a4dfd6&ltcmp=254301&afid=156210,theteam@nycruns.com,"We like to joke that the weather in NYC this time of year is fit for penguins, but the truth is, it’s also for runners of all levels. Snag a new 5K or 10K PR or simply add another race to your list; either way, this race in Riverside Park is calling your name Chilly Willy."
Polar Cap Run,02/01/20,Lake George,New York,running,4mi,https://www.active.com/lake-george-ny/running/distance-running-races/polar-cap-run-2020?int=,polarcap@adirondackrunners.org,Race benefits the Northern Haiti Sustainability Initiative and Sacred Heart Of Lake George Food Pantry. Rolling 4 mile course with 1 hill to get your heart rate up and flat finish after a downhill.
Go Hard or Go Home Half Marathon,02/02/20,Brooklyn,New York,running,13.1mi,https://www.active.com/brooklyn-ny/running/distance-running-races/the-go-hard-or-go-home-half-marathon-2020,raceguys@trimarasports.com,"The Go Hard or Go Home Half Marathon, a Sammy Lazhir memorial run. This 13.1 mile journey around one of the worlds most iconic parks will be as challenging as it is beautiful."
HMRRC Winter Series - #5,02/02/20,Albany,New York,running,5mi,https://www.hmrrc.com/contact-us,patrick@greenleafracing.com,"This is a club race, free for members."
HMRRC Winter Series - #5,02/02/20,Albany,New York,running,10mi,https://www.hmrrc.com/contact-us,patrick@greenleafracing.com,"This is a club race, free for members."
HMRRC Winter Series - #5,02/02/20,Albany,New York,running,20mi,https://www.hmrrc.com/contact-us,patrick@greenleafracing.com,"This is a club race, free for members."
Mr. Ed's Superbowl Warm Up,02/02/20,Middleport,New York,running,5km,https://runsignup.com/Race/Register/?raceId=40579,,“COLLECTOR’S ITEM” Long sleeved T-Shirts TO FIRST 300 REGISTERED. Discounts for 14 years old and under taken at checkout.
Mr. Ed's Superbowl Warm Up,02/02/20,Middleport,New York,running,5km relay,https://runsignup.com/Race/Register/?raceId=40579,,“COLLECTOR’S ITEM” Long sleeved T-Shirts TO FIRST 300 REGISTERED. Discounts for 14 years old and under taken at checkout.
Mr. Ed's Superbowl Warm Up,02/02/20,Middleport,New York,running,1mi,https://runsignup.com/Race/Register/?raceId=40579,,“COLLECTOR’S ITEM” Long sleeved T-Shirts TO FIRST 300 REGISTERED. Discounts for 14 years old and under taken at checkout.
NYRR Gridiron 4M,02/02/20,New York,New York,running,4mi,https://www.nyrr.org/races/nyrrgridiron4mpresentedbytheflagartfoundation,help@nyrr.org,"You’re not just an armchair quarterback. On February 2, get your own game on! Start the big day by testing your arm strength in the Longest Football Throw contest from 8:00 a.m. to 8:30 a.m. Bring your kids to enjoy the football fun, too! They can toss the ball to show up the adults."
Winterfest 5K and Camp Saratoga 8K Snowshoe Race,02/02/20,Saratoga Springs,New York,running,5km,https://runsignup.com/Race/Register/?raceId=70360,lclark@sals.edu,"SNOW CONDITIONS: If no snow, may have a trail race. No refunds"
Winterfest 5K and Camp Saratoga 8K Snowshoe Race,02/02/20,Saratoga Springs,New York,running,8km,https://runsignup.com/Race/Register/?raceId=70360,lclark@sals.edu,"SNOW CONDITIONS: If no snow, may have a trail race. No refunds"
Selkirk Shores 5K Snowshoe Run,02/02/20,Pulaski,New York,running,5km,https://runsignup.com/Race/Register/?raceId=53896,shelly.wilmott@parks.ny.gov,6th Annual Selkirk Shores 5K Snowshoe Run/Walk. Thrilling woodland racecourse with portions of the trail groomed. All ages welcome!
Super Couch Potato 5K,02/02/20,Liverpool,New York,running,5km,https://runsignup.com/Race/Register/?raceId=13336&eventId=341342,,Get your run done early so you can park yourself on the couch and watch the big game. A flat and fast 5-kilometer race at scenic Onondaga Lake Park.
City Running Tours - America's Roots Running Tour,02/04/20,New York,New York,running,4.5mi,https://www.active.com/new-york-ny/running/distance-running/city-running-tours-america-s-roots-running-tour-2020-60438007?cdg=affiliate-254301&cmp=39N-DP260-BND10-SD230-DM20&ltclickid=12_46145759_6aa16156-ceec-4ff4-a6bb-ca71e16fb2bc&ltcmp=254301&afid=156210,runners@cityrunningtours.com,"Explore the roots of America through events that occurred in New York City from the time the city was an early Dutch Settlement, through British Rule, Revolution and the birth of a new Nation. You will see how immigration influenced and made up the very foundation of the city."
City Running Tours - Brooklyn Bridge Running Tour,02/07/20,New York,New York,running,4.3mi,https://www.active.com/new-york-ny/running/distance-running/city-running-tours-brooklyn-bridge-running-tour-2020-61026101?afid=156210&ltcmp=254301&ltclickid=12_46149013_b52647b2-3ae0-4c45-8476-13a12e7d9140&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,runners@cityrunningtours.com,"The Brooklyn Bridge is the most iconic landmark in all of New York. At any time of day The Bridge provides great views of Manhattan and Brooklyn and offers a look back at the origins of modern day New York City, when Manhattan and Brooklyn were still separate cities."
Braving the Elements 5K,02/08/20,Arcade,New York,running,5km,https://runsignup.com/Race/Register/?raceId=83360&eventId=359238,,Join us on February 8th for a snowy 5K through Arcade's Winterfest Celebration!
