Name,Date,Location/City,State,Category,Distance,Website/Reg Link,Contact Email,Summary
FARC Winter Race Series,1/12/2020,Freehold,New Jersey,running,5km,http://www.farcnj.com/pdfs/2020%20%20Winter%20Series%20App.pdf,,37th Annual Winter Race Series
Delaware and Raritan Canal parkrun,1/18/2020,Somerset,New Jersey,running,5km,https://www.parkrun.us/register/,delawareandraritancanal@parkrun.com,"Delaware and Raritan Canal parkrun is a FREE weekly 5km event for runners of all standards, which takes place every Saturday at 9:00am in Delaware and Raritan Canal State Park Trail, 156 Mettlers Rd, Somerset, NJ 08873. It is not a race against other runners, but a 5k timed run and it can really be whatever you want it to be, whether that's for fun or as part of a training plan."
NJ Winter Trail Series - Race 4,1/18/2020,Morristown,New Jersey,running,5km,https://runsignup.com/Race/NJ/Morristown/NJTrailSeriesFallWinterSeries4,njtrailseries@gmail.com,"Each event will be more about the time on the trails and good time after the race (cold refreshments are served), not so much about your time on the clock.  These will not be PR courses.  Life is not measured in time.  Life is measured in family, friends, smiles, miles, and beer.  Come out to a NJ Trail Series event if you enjoy fun, getting out for some exercise and meeting new friends."
NJ Winter Trail Series - Race 4,1/18/2020,Morristown,New Jersey,running,10km,https://runsignup.com/Race/NJ/Morristown/NJTrailSeriesFallWinterSeries4,njtrailseries@gmail.com,"Each event will be more about the time on the trails and good time after the race (cold refreshments are served), not so much about your time on the clock.  These will not be PR courses.  Life is not measured in time.  Life is measured in family, friends, smiles, miles, and beer.  Come out to a NJ Trail Series event if you enjoy fun, getting out for some exercise and meeting new friends."
NJ Winter Trail Series - Race 4,1/18/2020,Morristown,New Jersey,running,13.1mi,https://runsignup.com/Race/NJ/Morristown/NJTrailSeriesFallWinterSeries4,njtrailseries@gmail.com,"Each event will be more about the time on the trails and good time after the race (cold refreshments are served), not so much about your time on the clock.  These will not be PR courses.  Life is not measured in time.  Life is measured in family, friends, smiles, miles, and beer.  Come out to a NJ Trail Series event if you enjoy fun, getting out for some exercise and meeting new friends."
Browning Ross Winter Series 5K,1/19/2020,Glassboro,New Jersey,running,5km,https://d8a9ff76-a619-4772-ae91-d5ae27e8e5c2.filesusr.com/ugd/38042f_84c90eef7ac34175a411d702b9743e09.pdf,tuffgangrunning@yahoo.com,Registration & start of race will take place in the parking lot next to Rowan University’s track on Bowe Blvd.
FARC Winter Race Series,1/19/2020,Freehold,New Jersey,running,5km,http://www.farcnj.com/pdfs/2020%20%20Winter%20Series%20App.pdf,,37th Annual Winter Race Series
Delaware and Raritan Canal parkrun,1/25/2020,Somerset,New Jersey,running,5km,https://www.parkrun.us/register/,delawareandraritancanal@parkrun.com,"Delaware and Raritan Canal parkrun is a FREE weekly 5km event for runners of all standards, which takes place every Saturday at 9:00am in Delaware and Raritan Canal State Park Trail, 156 Mettlers Rd, Somerset, NJ 08873. It is not a race against other runners, but a 5k timed run and it can really be whatever you want it to be, whether that's for fun or as part of a training plan."
Frosty Fat Sass,1/25/2020,West Orange,New Jersey,running,5km,https://ultrasignup.com/register.aspx?did=70605,sassquadtrailrunning@gmail.com,EVERY RUN IS A TRAIL PARTY! Our crazy-fun trail running events in New Jersey celebrate every runner and every mile. All paces and abilities can achieve their running goals at our trail races!
Frosty Fat Sass,1/25/2020,West Orange,New Jersey,running,3H,https://ultrasignup.com/register.aspx?did=70605,sassquadtrailrunning@gmail.com,EVERY RUN IS A TRAIL PARTY! Our crazy-fun trail running events in New Jersey celebrate every runner and every mile. All paces and abilities can achieve their running goals at our trail races!
Frosty Fat Sass,1/25/2020,West Orange,New Jersey,running,6H,https://ultrasignup.com/register.aspx?did=70605,sassquadtrailrunning@gmail.com,EVERY RUN IS A TRAIL PARTY! Our crazy-fun trail running events in New Jersey celebrate every runner and every mile. All paces and abilities can achieve their running goals at our trail races!
Viking Snowshoe Invasion,1/25/2020,Vernon,New Jersey,running,5km,https://runsignup.com/Race/NJ/Vernon/VikingSnowshoeInvasion,mdowntain@vernontwp.com,"The Viking Snowshoe Invasion is coming back for its 3rd year on the mountain! Are you ready? Join the Vernon Township Board of Recreation at Mountain Creek on January 25, 2020. Choose your challenge – a 5k tromp across the ridge of the Mountain or the final mile option - either will spark the best of your winter skills! Runners, walkers or those trying out snowshoes for the first time – ALL ARE WELCOME!"
Browning Ross Winter Series 5K,1/26/2020,Glassboro,New Jersey,running,5km,https://d8a9ff76-a619-4772-ae91-d5ae27e8e5c2.filesusr.com/ugd/38042f_84c90eef7ac34175a411d702b9743e09.pdf,tuffgangrunning@yahoo.com,Registration & start of race will take place in the parking lot next to Rowan University’s track on Bowe Blvd.
Chili Run,1/26/2020,Pitman,New Jersey,running,2mi,https://runsignup.com/Race/NJ/Pitman/TheChiliRun2017,ken@gooddayforarun.com,The Hottest Run in the Winter is Back!!! Run 2 Miles and finish with a cup of Chili and Beer at the popular Carolina Blue Restaurant!
FARC Winter Race Series,1/26/2020,Freehold,New Jersey,running,5km,http://www.farcnj.com/pdfs/2020%20%20Winter%20Series%20App.pdf,,37th Annual Winter Race Series
Delaware and Raritan Canal parkrun,2/1/2020,Somerset,New Jersey,running,5km,https://www.parkrun.us/register/,delawareandraritancanal@parkrun.com,"Delaware and Raritan Canal parkrun is a FREE weekly 5km event for runners of all standards, which takes place every Saturday at 9:00am in Delaware and Raritan Canal State Park Trail, 156 Mettlers Rd, Somerset, NJ 08873. It is not a race against other runners, but a 5k timed run and it can really be whatever you want it to be, whether that's for fun or as part of a training plan."
NJ Winter Trail Series - Race 5,2/1/2020,Morristown,New Jersey,running,5km,https://runsignup.com/Race/NJ/Morristown/NJTrailSeriesFallWinterSeries5,njtrailseries@gmail.com,"Each event will be more about the time on the trails and good time after the race (cold refreshments are served), not so much about your time on the clock.  These will not be PR courses.  Life is not measured in time.  Life is measured in family, friends, smiles, miles, and beer.  Come out to a NJ Trail Series event if you enjoy fun, getting out for some exercise and meeting new friends."
NJ Winter Trail Series - Race 5,2/1/2020,Morristown,New Jersey,running,10km,https://runsignup.com/Race/NJ/Morristown/NJTrailSeriesFallWinterSeries5,njtrailseries@gmail.com,"Each event will be more about the time on the trails and good time after the race (cold refreshments are served), not so much about your time on the clock.  These will not be PR courses.  Life is not measured in time.  Life is measured in family, friends, smiles, miles, and beer.  Come out to a NJ Trail Series event if you enjoy fun, getting out for some exercise and meeting new friends."
NJ Winter Trail Series - Race 5,2/1/2020,Morristown,New Jersey,running,13.1mi,https://runsignup.com/Race/NJ/Morristown/NJTrailSeriesFallWinterSeries5,njtrailseries@gmail.com,"Each event will be more about the time on the trails and good time after the race (cold refreshments are served), not so much about your time on the clock.  These will not be PR courses.  Life is not measured in time.  Life is measured in family, friends, smiles, miles, and beer.  Come out to a NJ Trail Series event if you enjoy fun, getting out for some exercise and meeting new friends."
Penguin Pace,2/1/2020,Wayne,New Jersey,running,5km,https://runsignup.com/Race/NJ/Wayne/PenguinPace,brrr@penguinpace.com,"Run the icicles off your feet for this pre-season run on the Saturday before the Big Football Game. The faster you run, the faster you can get to the Indoor Hot Cocoa Party! A portion of the proceeds benefits the Wayne Interfaith Network Food Pantry. Penguin Pace mug and t-shirt to the first 300 registrants!"
Browning Ross Winter Series 5K,2/2/2020,Glassboro,New Jersey,running,5km,https://d8a9ff76-a619-4772-ae91-d5ae27e8e5c2.filesusr.com/ugd/38042f_84c90eef7ac34175a411d702b9743e09.pdf,tuffgangrunning@yahoo.com,Registration & start of race will take place in the parking lot next to Rowan University’s track on Bowe Blvd.
FARC Winter Race Series,2/2/2020,Freehold,New Jersey,running,5km,http://www.farcnj.com/pdfs/2020%20%20Winter%20Series%20App.pdf,,37th Annual Winter Race Series
Chili Run - February,2/8/2020,Pitman,New Jersey,running,2mi,https://runsignup.com/Race/NJ/Pitman/TheChiliRunFebruary,ken@gooddayforarun.com,The Hottest Run in the Winter is Back!!! Run 2 Miles and finish with a cup of Chili and Beer at the popular Carolina Blue Restaurant!
Cupid's Chase 5K - West Orange,2/8/2020,West Orange,New Jersey,running,5km,http://imatter.comop.org/site/TR?fr_id=1837&pg=entry,cupidschase@comop.org,Cupid's Chase 5k takes place every February to celebrate the founding of Community Options in February 1989. Cupid’s Chase raises both funds and awareness for Community Options’ mission of providing residential and employment services to individuals with disabilities. Join us in our support of people with disabilities and our pursuit of Cupid!
Cupid's Chase 5K - West Deptford,2/8/2020,West Deptford,New Jersey,running,5km,https://www.comop.org/cupidschase/,cupidschase@comop.org,Cupid's Chase 5k takes place every February to celebrate the founding of Community Options in February 1989. Cupid’s Chase raises both funds and awareness for Community Options’ mission of providing residential and employment services to individuals with disabilities. Join us in our support of people with disabilities and our pursuit of Cupid!
Cupid's Chase 5K - Bridgewater,2/8/2020,Bridgewater,New Jersey,running,5km,http://imatter.comop.org/site/TR?fr_id=1833&pg=entry,cupidschase@comop.org,Cupid's Chase 5k takes place every February to celebrate the founding of Community Options in February 1989. Cupid’s Chase raises both funds and awareness for Community Options’ mission of providing residential and employment services to individuals with disabilities. Join us in our support of people with disabilities and our pursuit of Cupid!
Cupid's Chase 5K - Glen Rock,2/8/2020,Glen Rock,New Jersey,running,5km,http://imatter.comop.org/site/TR?fr_id=1838&pg=entry,cupidschase@comop.org,Cupid's Chase 5k takes place every February to celebrate the founding of Community Options in February 1989. Cupid’s Chase raises both funds and awareness for Community Options’ mission of providing residential and employment services to individuals with disabilities. Join us in our support of people with disabilities and our pursuit of Cupid!
Cupid's Chase 5K - Moorestown,2/8/2020,Moorestown,New Jersey,running,5km,http://imatter.comop.org/site/TR?fr_id=1839&pg=entry,cupidschase@comop.org,Cupid's Chase 5k takes place every February to celebrate the founding of Community Options in February 1989. Cupid’s Chase raises both funds and awareness for Community Options’ mission of providing residential and employment services to individuals with disabilities. Join us in our support of people with disabilities and our pursuit of Cupid!
Cupid's Chase 5K - Morristown,2/8/2020,Morristown,New Jersey,running,5km,https://runsignup.com/Race/NJ/Morristown/CupidsChase5KRun,cupidschase@comop.org,"Community Options, Inc. invites runners, walkers, and rollers (baby strollers and wheelchairs) to help make a difference in the lives of people with disabilities by participating in our annual Cupid’s Chase 5K. Because of you... we can make a difference!"
Cupid's Chase 5K - New Brunswick,2/8/2020,New Brunswick,New Jersey,running,5km,https://www.comop.org/cupidschase/,cupidschase@comop.org,Cupid's Chase 5k takes place every February to celebrate the founding of Community Options in February 1989. Cupid’s Chase raises both funds and awareness for Community Options’ mission of providing residential and employment services to individuals with disabilities. Join us in our support of people with disabilities and our pursuit of Cupid!
Cupid's Chase 5K - Princeton,2/8/2020,Princeton,New Jersey,running,5km,http://imatter.comop.org/site/TR?fr_id=1835&pg=entry,cupidschase@comop.org,Cupid's Chase 5k takes place every February to celebrate the founding of Community Options in February 1989. Cupid’s Chase raises both funds and awareness for Community Options’ mission of providing residential and employment services to individuals with disabilities. Join us in our support of people with disabilities and our pursuit of Cupid!
Cupid's Chase 5K - Seaside Heights,2/8/2020,Seaside Heights,New Jersey,running,5km,https://runsignup.com/Race/NJ/SeasideHeights/CupidsChaseSeasideHeights?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,cupidschase@comop.org,"Community Options, Inc. invites runners, walkers, and rollers (baby strollers and wheelchairs) to help make a difference in the lives of people with disabilities by participating in our annual Cupid’s Chase 5K. Because of you... we can make a difference!"
Delaware and Raritan Canal parkrun,2/8/2020,Somerset,New Jersey,running,5km,https://www.parkrun.us/register/,delawareandraritancanal@parkrun.com,"Delaware and Raritan Canal parkrun is a FREE weekly 5km event for runners of all standards, which takes place every Saturday at 9:00am in Delaware and Raritan Canal State Park Trail, 156 Mettlers Rd, Somerset, NJ 08873. It is not a race against other runners, but a 5k timed run and it can really be whatever you want it to be, whether that's for fun or as part of a training plan."
Browning Ross Winter Series 5K,2/9/2020,Glassboro,New Jersey,running,5km,https://d8a9ff76-a619-4772-ae91-d5ae27e8e5c2.filesusr.com/ugd/38042f_84c90eef7ac34175a411d702b9743e09.pdf,tuffgangrunning@yahoo.com,Registration & start of race will take place in the parking lot next to Rowan University’s track on Bowe Blvd.
Delaware and Raritan Canal parkrun,2/15/2020,Somerset,New Jersey,running,5km,https://www.parkrun.us/register/,delawareandraritancanal@parkrun.com,"Delaware and Raritan Canal parkrun is a FREE weekly 5km event for runners of all standards, which takes place every Saturday at 9:00am in Delaware and Raritan Canal State Park Trail, 156 Mettlers Rd, Somerset, NJ 08873. It is not a race against other runners, but a 5k timed run and it can really be whatever you want it to be, whether that's for fun or as part of a training plan."
Manasquan Mid-Winter Beach Run,2/15/2020,Manasquan,New Jersey,running,2mi,https://runsignup.com/Race/NJ/Manasquan/ManasquanMidWinterBeachRunWalkParty,GioRock7@Gmail.com,"Manasquan Mid-Winter Beach Run/Walk a two mile fun run & walk around the Beach area in the great town of Manasquan at 11 AM. The run is mostly on the roads by the beach and on the Beach Walk, but 1/4 Mile is on the Beach itself. One very Fun Run & Walk for the whole family. Nice party and awards at Leggett’s immediately after the event with a Bountiful Free Buffet!"
Valentines 5K,2/15/2020,Marlton,New Jersey,running,5km,https://runsignup.com/Race/NJ/Marlton/MarltonLakesFall5K,,"Chip Timed 5K Roadrace through the picturesque community of Marlton Lakes, NJ"
Browning Ross Winter Series 5K,2/16/2020,Glassboro,New Jersey,running,5km,https://d8a9ff76-a619-4772-ae91-d5ae27e8e5c2.filesusr.com/ugd/38042f_84c90eef7ac34175a411d702b9743e09.pdf,tuffgangrunning@yahoo.com,Registration & start of race will take place in the parking lot next to Rowan University’s track on Bowe Blvd.
Polar Bear Run/Walk for Autism,2/16/2020,Sea Isle City,New Jersey,running,5km,https://runsignup.com/Race/NJ/SeaIsleCity/PolarBear5kRunWalkforAutism,info@polarbearrunwalkforautism.com,"Polar Bear Run/Walk for Autism Come join over 3,000 people for the Jersey Shore’s Premier Run/Walk Event! It’s a Party!"
Polar Bear Run/Walk for Autism,2/16/2020,Sea Isle City,New Jersey,running,1mi,https://runsignup.com/Race/NJ/SeaIsleCity/PolarBear5kRunWalkforAutism,info@polarbearrunwalkforautism.com,"Polar Bear Run/Walk for Autism Come join over 3,000 people for the Jersey Shore’s Premier Run/Walk Event! It’s a Party!"
Delaware and Raritan Canal parkrun,2/22/2020,Somerset,New Jersey,running,5km,https://www.parkrun.us/register/,delawareandraritancanal@parkrun.com,"Delaware and Raritan Canal parkrun is a FREE weekly 5km event for runners of all standards, which takes place every Saturday at 9:00am in Delaware and Raritan Canal State Park Trail, 156 Mettlers Rd, Somerset, NJ 08873. It is not a race against other runners, but a 5k timed run and it can really be whatever you want it to be, whether that's for fun or as part of a training plan."
Febapple Frozen Fifty,2/22/2020,South Orange,New Jersey,running,50mi,https://runsignup.com/Race/NJ/SouthOrange/Febapple,njtrailseries@gmail.com,"Each event will be more about the time on the trails and good time after the race (cold refreshments are served), not so much about your time on the clock.  These will not be PR courses.  Life is not measured in time.  Life is measured in family, friends, smiles, miles, and beer.  Come out to a NJ Trail Series event if you enjoy fun, getting out for some exercise and meeting new friends."
Febapple Frozen Fifty,2/22/2020,South Orange,New Jersey,running,50km,https://runsignup.com/Race/NJ/SouthOrange/Febapple,njtrailseries@gmail.com,"Each event will be more about the time on the trails and good time after the race (cold refreshments are served), not so much about your time on the clock.  These will not be PR courses.  Life is not measured in time.  Life is measured in family, friends, smiles, miles, and beer.  Come out to a NJ Trail Series event if you enjoy fun, getting out for some exercise and meeting new friends."
Febapple Frozen Fifty,2/22/2020,South Orange,New Jersey,running,20mi,https://runsignup.com/Race/NJ/SouthOrange/Febapple,njtrailseries@gmail.com,"Each event will be more about the time on the trails and good time after the race (cold refreshments are served), not so much about your time on the clock.  These will not be PR courses.  Life is not measured in time.  Life is measured in family, friends, smiles, miles, and beer.  Come out to a NJ Trail Series event if you enjoy fun, getting out for some exercise and meeting new friends."
Febapple Frozen Fifty,2/22/2020,South Orange,New Jersey,running,10mi,https://runsignup.com/Race/NJ/SouthOrange/Febapple,njtrailseries@gmail.com,"Each event will be more about the time on the trails and good time after the race (cold refreshments are served), not so much about your time on the clock.  These will not be PR courses.  Life is not measured in time.  Life is measured in family, friends, smiles, miles, and beer.  Come out to a NJ Trail Series event if you enjoy fun, getting out for some exercise and meeting new friends."
Delaware and Raritan Canal parkrun,2/29/2020,Somerset,New Jersey,running,5km,https://www.parkrun.us/register/,delawareandraritancanal@parkrun.com,"Delaware and Raritan Canal parkrun is a FREE weekly 5km event for runners of all standards, which takes place every Saturday at 9:00am in Delaware and Raritan Canal State Park Trail, 156 Mettlers Rd, Somerset, NJ 08873. It is not a race against other runners, but a 5k timed run and it can really be whatever you want it to be, whether that's for fun or as part of a training plan."
March Fourth 5K,3/1/2020,Livingston,New Jersey,running,5km,https://runsignup.com/Race/Info/NJ/Livingston/MarchForth,Jeremydranikoff@gmail.com,The third annual March Fourth 5k and Family Fitness Day is quickly approaching! The event will take place from 9:00 AM - 1:00 PM on Sunday March 1st (Yes we know that is not March Fourth!). The event will take place at the Kushner Academy. The race will start right outside and indoors will be dozens of fitness classes for all ages - all included.  So even if you don’t like to run or walk there will something for everyone. 
Purim 5K,3/1/2020,Fair Lawn,New Jersey,running,5km,https://runsignup.com/Race/NJ/FairLawn/Purim5KFunRun1MileWalk,,"Join the Sisterhood of the Fair Lawn Jewish Center/ Congregation B’nai Israel in our 8th annual Purim 5K RUN & 1 MILE WALK Sunday March 1st @ 10:00 am. Start/Finish in the FLJC/CBI Parking Lot,.  CHIP TIMED!!  Course is USATF sanctioned and certified. T-shirts for the first 125 entrants. Register before February 26th for the discount price of $25.  Cost will be $30 on race day.  All the proceeds go to the TIKVAH program of Camp Ramah, an overnight camp for children with special needs. Come in Costume!!! Lots of Family Fun- DJ, great snacks.  Prizes awarded for top male/female winners and age groups."
Purim 5K - 1mi,3/1/2020,Fair Lawn,New Jersey,running,1mi,https://runsignup.com/Race/NJ/FairLawn/Purim5KFunRun1MileWalk,,"Join the Sisterhood of the Fair Lawn Jewish Center/ Congregation B’nai Israel in our 8th annual Purim 5K RUN & 1 MILE WALK Sunday March 1st @ 10:00 am. Start/Finish in the FLJC/CBI Parking Lot,.  CHIP TIMED!!  Course is USATF sanctioned and certified. T-shirts for the first 125 entrants. Register before February 26th for the discount price of $25.  Cost will be $30 on race day.  All the proceeds go to the TIKVAH program of Camp Ramah, an overnight camp for children with special needs. Come in Costume!!! Lots of Family Fun- DJ, great snacks.  Prizes awarded for top male/female winners and age groups."
Delaware and Raritan Canal parkrun,3/7/2020,Somerset,New Jersey,running,5km,https://www.parkrun.us/register/,delawareandraritancanal@parkrun.com,"Delaware and Raritan Canal parkrun is a FREE weekly 5km event for runners of all standards, which takes place every Saturday at 9:00am in Delaware and Raritan Canal State Park Trail, 156 Mettlers Rd, Somerset, NJ 08873. It is not a race against other runners, but a 5k timed run and it can really be whatever you want it to be, whether that's for fun or as part of a training plan."
Jade Run,3/7/2020,Vincentown,New Jersey,running,5km,https://runsignup.com/Race/NJ/Vincentown/StoptheJadeRun,,"This is our 24th Jade Run 5k!!!  It's a great little race to start the running season for all kinds of runners.  The course, through historic Vincentown and surrounding farmland, is flat and fast (AND scenic!).  Awards will be given to the 1st Place Overall Male and Female Runners. (Medals to top 1st, 2nd and 3rd in age groups.)"
Jade Run,3/7/2020,Vincentown,New Jersey,running,1mi,https://runsignup.com/Race/NJ/Vincentown/StoptheJadeRun,,"This is our 24th Jade Run 5k!!!  It's a great little race to start the running season for all kinds of runners.  The course, through historic Vincentown and surrounding farmland, is flat and fast (AND scenic!).  Awards will be given to the 1st Place Overall Male and Female Runners. (Medals to top 1st, 2nd and 3rd in age groups.)"
Michael Cassidy Shamrock N Run,3/7/2020,Rutherford,New Jersey,running,5km,https://shamrocknrun5k.org/,marilynrussocassidy@gmail.com,Proceeds will benefit the National Brain Tumor Society
Delaware and Raritan Canal parkrun,3/14/2020,Somerset,New Jersey,running,5km,https://www.parkrun.us/register/,delawareandraritancanal@parkrun.com,"Delaware and Raritan Canal parkrun is a FREE weekly 5km event for runners of all standards, which takes place every Saturday at 9:00am in Delaware and Raritan Canal State Park Trail, 156 Mettlers Rd, Somerset, NJ 08873. It is not a race against other runners, but a 5k timed run and it can really be whatever you want it to be, whether that's for fun or as part of a training plan."
Double Squatch,3/14/2020,Branchville,New Jersey,running,5km,https://ultrasignup.com/register.aspx?did=70767,sassquadtrailrunning@gmail.com,EVERY RUN IS A TRAIL PARTY! Our crazy-fun trail running events in New Jersey celebrate every runner and every mile. All paces and abilities can achieve their running goals at our trail races!
Double Squatch,3/14/2020,Branchville,New Jersey,running,3H,https://ultrasignup.com/register.aspx?did=70767,sassquadtrailrunning@gmail.com,EVERY RUN IS A TRAIL PARTY! Our crazy-fun trail running events in New Jersey celebrate every runner and every mile. All paces and abilities can achieve their running goals at our trail races!
Double Squatch,3/14/2020,Branchville,New Jersey,running,6H,https://ultrasignup.com/register.aspx?did=70767,sassquadtrailrunning@gmail.com,EVERY RUN IS A TRAIL PARTY! Our crazy-fun trail running events in New Jersey celebrate every runner and every mile. All paces and abilities can achieve their running goals at our trail races!
