Name,Date,Location/City,State,Category,Distance,Swim Distance,Bike Distance,Run Distance,Website/Reg Link,Contact Email,Summary,
IRONMAN 70.3 Texas,04/05/2020,Galveston,Texas,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-texas,texas70.3@ironman.com,Everything is Bigger in Texas,
IRONMAN 70.3 Liuzhou,04/12/2020,Liuzhou,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-liuzhou,liuzhou70.3@ironman.com,IRONMAN 70.3 Liuzhou,
IRONMAN Taiwan,04/12/2020,Penghu,,Triathlon,IM,3.8 km,180 km,42.2 km,https://www.ironman.com/im-taiwan?_ga=2.131180618.496721044.1575427030-1001469344.1575427030,service@taiwantriathlon.com,The Pearl Islands of Taiwan,
5150 Desaru Coast,04/18/2020,Desaru Coast,,Triathlon,Olympic,1.5 km,40 km,10 km,https://www.ironman.com/5150-desaru-coast?_ga=2.64204650.496721044.1575427030-1001469344.1575427030,5150@ironman.com,A Tropical Getaway,
IRONMAN 70.3 Florida,04/19/2020,Haines City,Florida ,Triathlon,HIM,1.2 mi,56 mi ,13.1 mi,https://www.ironman.com/im703-florida,florida70.3@ironman.com,Fun for the whole family,
IRONMAN Texas,04/25/2020,The Woodlands ,Texas,Triathlon,IM,2.4 mi,112 mi,26.2 mi,https://www.ironman.com/im-texas?_ga=2.97618138.496721044.1575427030-1001469344.1575427030,texas@ironman.com,10 Years in Texas,
IRONMAN 70.3 Marbella,04/26/2020,Marbella,,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-marbella?_ga=2.75785040.496721044.1575427030-1001469344.1575427030,marbella70.3@ironman.com,Alluring Andalusian Adventure,
IRONMAN 70.3 Florianopolis,04/26/2020,Florianopolis,,Triathlon,HIM,1.9 km,90.1 km ,21.1 km,https://www.ironman.com/im703-florianopolis?_ga=2.177291488.496721044.1575427030-1001469344.1575427030,florianopolis70.3@ironman.com,A Natural Paradise,
IRONMAN 70.3 Busselton,05/02/2020,Busselton,,Triathlon,HIM,1.9 km ,90.1 km,21.1 km,http://www.busseltonfestivaloftriathlon.com.au/,events@wa.triathlon.org.au,Swim in the pristine waters of Geographe Bay,
IRONMAN St. George (North American Championship),05/02/2020,St. George,Utah,Triathlon,IM,2.4 mi,112 mi,26.2 mi,https://www.ironman.com/im-st-george?_ga=2.130256842.496721044.1575427030-1001469344.1575427030,stgeorge@ironman.com,North American Championship,
IRONMAN 70.3 Monterrey,05/03/2020,Monterrey,,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-monterrey,Monterrey70.3@Ironman.com,A Cosmopolitan Capital,
IRONMAN 70.3 Port Macquarie,05/03/2020,Port Macquarie,New South Wales,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-port-macquarie,Australia@ironman.com,The perfect place for a race-cation,
IRONMAN Australia,05/03/2020,Port Macquarie,New South Wales,Triathlon,IM,3.8 km,180 km,42.2 km,https://www.ironman.com/im-australia,Australia@ironman.com,Celebrating 35 years,
IRONMAN 70.3 Alcudia - Mallorca,05/09/2020,Alcudia,Mallorca,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-mallorca,mallorca70.3@ironman.com,Discover the Pearl of the Mediterranean,
IRONMAN 70.3 Gulf Coast,05/09/2020,Panaman City Beach,Florida,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-gulf-coast,gulfcoast70.3@ironman.com,"Picturesque, fast, and flat early season race",
IRONMAN 70.3 Santa Rosa,05/09/2020,Santa Rosa,California,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-santa-rosa,santarosa70.3@ironman.com,Where beer city meets wine country,
IRONMAN 70.3 Vietnam,05/10/2020,Danang,,Triathlon,HIM,1.9 km,90 km,21 km,https://www.ironman.com/im703-vietnam,vietnam70.3@ironman.com,White Sand and UNESCO World Heritage Sites,
5150 Triathlon Porec,05/10/2020,Porec,,Triathlon,Olympic,1500 m,40 km,10 km,https://www.ironman.com/5150-croatia,croatia5150@ironman.com,The Traveller's Treasure Trove,
IRONMAN 70.3 Aix - en - Provence,05/17/2020,Aix - en Provence,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-aix-en-provence,aixenprovence70.3@ironman.com,Absolutely Alluring Opulence,
IRONMAN 70.3 Barcelona,05/17/2020,Calella,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-barcelona,barcelona70.3@ironman.com,Golden beaches and incredible beauty,
IRONMAN 70.3 Chattanooga,05/17/2020,Chattanooga,Tennessee,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-chattanooga,chattanooga70.3@ironman.com,A Popular Springtime Race,
IRONMAN Lanzarote,05/23/2020,Lanzarote,Canary Islands,Triathlon,IM,3.8 km,180.2 km,42.2 km,https://www.ironman.com/im-lanzarote?_ga=2.72642390.496721044.1575427030-1001469344.1575427030,lanzarote@ironman.com,Captivating island landscapes,
IRONMAN 70.3 Graz,05/24/2020,Graz,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-graz,graz70.3@ironman.com,The green heart of Austria,
IRONMAN 70.3 Hawaii,05/30/2020,Kohala Coast,,Triathlon,HIM,1.93 km,90.1 km,21.1 km,https://www.ironman.com/im703-hawaii?_ga=2.72642390.496721044.1575427030-1001469344.1575427030,hawaii70.3@ironman.com,IRONMAN 70.3 Hawaii,
IRONMAN 70.3 Connecticut,05/31/2020,Middleburry,Connecticut,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-connecticut,connecticut70.3@ironman.com,Classic Connecticut,
IRONMAN 70.3 Victoria,05/31/2020,Victoria,British Columbia,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-victoria,victoria70.3@ironman.com,The Gateway to British Columbia,
IRONMAN Brazil,05/31/2020,Florianopolis,,Triathlon,IM,3.8 km,180.2 km,42.2 km,https://www.ironman.com/im-brazil,Brazil@ironman.com,IRONMAN Florianopolis,
IRONMAN Tulsa,05/31/2020,Tulsa,Oklahoma,Triathlon,IM,2.4 mi,112 mi,26.2 mi,https://www.ironman.com/im-tulsa,tulsa@ironman.com,Inaugural Event,
IRONMAN 70.3 Durban,06/07/2020,Kwa Zulu Natal,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-durban,durban70.3@ironman.com,Experience the Zulu Kingdom,
IRONMAN 70.3 Subic Bay,06/07/2020,Subic Bay,,Triathlon,HIM,1.9 km,,,https://www.ironman.com/im703-subic-bay-philippines,secretariat@ironman703subicbay.com,A Philippines Training Mecca,
IRONMAN 70.3 Kraichgau,06/07/2020,Kraichgau,Ubstadt - Weiher,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-kraichgau?_ga=2.172245094.496721044.1575427030-1001469344.1575427030,kraichgau70.3@ironman.com,"Land of 1,000 Hills",
IRONMAN 70.3 Staffordshire,06/07/2020,Staffordshire,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-staffordshire,staffordshire70.3@ironman.com,Quaint Countryside and Castles in the Midlands,
IRONMAN 70.3 Switzerland,06/07/2020,Rapperswil - Jona,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-switzerland,rapperswil70.3@ironman.com,Swiss Riviera Stunner,
IRONMAN 70.3 Virginia's Blue Ridge,06/07/2020,Roanoke,,Triathlon,HIM,1.2 mi,,13.1 mi,https://www.ironman.com/im703-virginia-blue-ridge,virginia70.3@ironman.com,Race in the Blue Ridge Mountains,comng soon
IRONMAN 70.3 Cairns,06/07/2020,Cairns,Queensland,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-cairns,cairns@ironman.com,From reef to rainforest,
IRONMAN Cairns (Asia - Pacific Championship),06/07/2020,Cairns,Queensland,Triathlon,IM,3.8 km,180 km,42.2 km ,https://www.ironman.com/im-cairns,cairns@ironman.com,Race the World’s Best IRONMAN in Cairns,
IRONMAN Philippines,06/07/2020,Subic Bay,,Triathlon,IM,3.8 km ,180 km,42. 2 km,https://www.ironman.com/im-philippines,secretariat@ironmanphilippines.com,A Holiday Beach Destination,
5150 Kraichgau,06/07/2020,Kraichgau,Ubstadt - Weiher,Triathlon,Olympic,1.5 km ,90 km,10 km,https://www.ironman.com/5150-kraichgau,kraichgau@5150.com,Classic Course in German Tri Country,
IRONMAN 70.3 Otepaa,06/13/2020,Otepaa,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-otepaa,otepaa70.3@ironman.com,Quaint and Eclectic Estonia,
IRONMAN 70.3 Luxembourg - Region Moselle,06/14/2020,Region Moselle,Luxembourg,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-luxembourg,luxembourg70.3@ironman.com,"Three Countries, One Race",
IRONMAN 70.3 Eagleman,06/14/2020,Cambridge,Maryland,Triathlon,HIM,1.2 mi ,56 mi,13.1 mi,https://www.ironman.com/im703-eagleman,eagleman70.3@ironman.com,Vibrant Views,
IRONMAN 70.3 Wisconsin,06/14/2020,Madison,Wisconsin,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-wisconsin,wisconsin70.3@ironman.com,Favorite Summer Kickoff,
IRONMAN France,06/14/2020,Nice,,Triathlon,IM,3.8 km,180.2 km,42.2 km,https://www.ironman.com/im-france,nice@ironman.com,Mediterranean magic on the Côte d’Azur,
5150 Warsaw,06/14/2020,Warsaw,,Triathlon,Olympic,1.5 km,40 km,10 km,https://www.ironman.com/5150-warsaw,5150warsaw@ironman.com,Capital Curiosity Comes Calling,
5150 Mont Tremblant,06/20/2020,Mont Tremblant,,Triathlon,Olympic,750 m,20 km,5 km,https://www.ironman.com/5150-mont-tremblant,tremblant@5150.com,5150 Mont-Tremblant Race,
IRONMAN 70.3 Goseong,06/21/2020,Goseong,,Triathlon,HIM,1.9 km,90.1 km,21.1 km,https://www.ironman.com/im703-goseong,,Race in the Dinosaur City,
IRONMAN 70.3 European Championship Elsinore,06/21/2020,Elsinore,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-elsinore,elsinore70.3@ironman.com,Step Back in Time in Elsinore,
IRONMAN 70.3 Des Miones,06/21/2020,Des Moines,Iowa,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-des-moines,desmoines70.3@ironman.com,Invigorating Course and Support,
IRONMAN 70.3 Mont - Tremblant,06/21/2020,Mont - Tremblant,Quebec,Triathlon,HIM,1.2 mi,90 km,21.1 km,https://www.ironman.com/im703-mont-tremblant,monttremblant70.3@ironman.com,World-Class Triathlon Experience,
IRONMAN 70.3 Rio De Janeiro,06/21/2020,Rio de Janeiro,,Triathlon,HIM,1.9 km,90.1 km,21.1 km,https://www.ironman.com/im703-rio-de-janeiro,rio70.3@ironman.com,Carnival Culture,
IRONMAN Hamburg,06/21/2020,Hamburg,,Triathlon,IM,3.8 km,180.2 km,42.2 km,https://www.ironman.com/im-hamburg,hamburg@ironman.com,Germany's Home Port of Triathlon,
IRONMAN Ireland Cork,06/21/2020,Youghal/Cork,,Triathlon,IM,3.8 km,180.2 km,42.2 km,https://www.ironman.com/im-ireland,ireland@ironman.com,Ireland's Maritime Haven,
5150 Westfriesland,06/26/2020,Westfriesland,,Triathlon,Olympic,0.4 km,18 km,10 km,https://www.ironman.com/5150-westfriesland,westfriesland70.3@ironman.com,Definitive Dutch Delight,
IRONMAN 70.3 Finland,06/27/2020,Lahti,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-finland,finland70.3@ironman.com,Race Under Nordic Midnight Sun,
IRONMAN 70.3 Westfriesland,06/28/2020,Westfriesland,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-westfriesland,westfriesland70.3@ironman.com,Dash of Dutch Duality,
IRONMAN 70.3 Coeur d'Alene,06/28/2020,Coeur d'Alene,Idaho,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-coeur-dalene,cda70.3@ironman.com,Hidden Gem in the Pacific Northwest,
IRONMAN 70.3 Lubbock,06/28/2020,Lubbock,Texas,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-lubbock,IM703lbk.marti@gmail.com,The 31th Edition,
IRONMAN 70.3 Steelhead,06/28/2020,Benton Harbor,Michigan,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-steelhead,steelhand70.3@ironman.com,Compete and Unwind,
IRONMAN Frankfurt (European Championship),06/28/2020,Frankfurt,,Triathlon,IM,3.8 km,185 km,42.2 km,https://www.ironman.com/im-frankfurt,frankfurt@ironman.com,Bustling metropolis on the Main,
IRONMAN 70.3 Jonkoping,07/05/2020,Jonkoping,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-jonkoping,joenkoeping70.3@ironman.com,A Sprinkling of Swedish Magic,
IRONMAN 70.3 Les Sables d'Olonne,07/05/2020,Vendee,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-les-sables-dolonne,lessablesdolonne70.3@ironman.com,Discover the Coast of Light,
IRONMAN Austria - Karnten,07/05/2020,Klagenfurt,,Triathlon,IM,3.8 km,180.2 km,42.2 km,https://www.ironman.com/im-austria,klagenfurt@ironman.com,Crystal Clear Waters,
IRONMAN 70.3 Muncie,07/11/2020,Muncie,Indiana,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-muncie,muncie70.3@ironman.com,Family-Friendly Charm,
IRONMAN Muskoka 70.3,07/12/2020,Huntsville,Ontario,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-muskoka,muskoka70.3@ironman.com,Race in Canada's Cottage Country,
IRONMAN 70.3 Ecuador,07/12/2020,Manta,Manabi,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-ecuador,ecuador70.3@ironman.com,Beaches and Beyond,
IRONMAN Switzerland Thun,07/12/2020,Thun,,Triathlon,IM,3.8 km,180.2 km,42.2 km,https://www.ironman.com/im-switzerland,thun@ironman.com,Pristine waters and majestic mountains,
IRONMAN UK ,07/12/2020,Bolton,,Triathlon,IM,3.8 km,180.2 km,42.2 km,https://www.ironman.com/im-uk,uk@ironman.com,The North is Calling You Home,
IRONMAN Vitoria - Gasteiz,07/12/2020,Vitoria - Gasteiz,,Triathlon,IM,3.8 km,180.2 km,42.2 km,https://www.ironman.com/im-vitoria,vitoria@ironman.com,Feel the warmth of the Basque Country,
IRONMAN 70.3 Musselman,07/19/2020,Geneva,New York,Triathlon,HIM,0.5 mi,16 mi,3.1 mi,https://www.ironman.com/im703-musselman,musselman70.3@ironman.com,Geneva Gem,
IRONMAN 70.3 St. Petersburg,07/19/2020,St. Petersburg,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-st-petersburg,st.petersburg70.3@ironman.com,Meet the cultural heritage of Russia,
IRONMAN Santa Rosa,07/25/2020,Santa Rosa,California,Triathlon,IM,2.4 mi,112 mi,26.2 mi,https://www.ironman.com/im-santa-rosa,santarosa@ironman.com,California's IRONMAN,
IRONMAN 70.3 Calgary,07/26/2020,Calgary,Alberta,Triathlon,HIM,,,,https://www.ironman.com/im703-calgary,ironmancalgary@ironman.com,The Majestic Canadian Rockies,cant't find
IRONMAN 70.3 Ohio,07/26/2020,Delaware,Ohio,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-ohio,ohio70.3@ironman.com,A Quintessential Midwest Race,
IRONMAN Lake Placid,07/26/2020,Lake Placid,New York,Triathlon,IM,2.4 mi,112 mi,26.2 mi,https://www.ironman.com/im-lake-placid,lakeplacid@ironman.com,Olympic Legacy,
IRONMAN 70.3 Boulder,08/01/2020,Boulder,,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://ironman.com/im703-boulder,boulder70.3@ironman.com,Triathlon Mecca,
IRONMAN Tallinn,08/01/2020,Tallinn,,Triathlon,IM,2.4 mi,112 mi,26.2 mi,https://www.ironman.com/im-tallinn,tallinn@ironman.com,The cultural hub of Estonia,
IRONMAN 70.3 Gdynia,08/02/2020,Gdynia,,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-gdynia,gdynia70.3@ironman.com,The City of Sea and Dreams,
IRONMAN 70.3 Maceio,08/02/2020,Maceio,Alagoas,Triathlon,HIM,1.9 km,90.1 km,21.1 km,https://www.ironman.com/im703-maceio,maceio70.3@ironman.com,Elegant Coastal Brazil,
IRONMAN Finland Kuopio - Tahko,08/08/2020,Kuopio - Tahko,,Triathlon,IM,3.8 km,180.2 km,42.2 km,https://www.ironman.com/im-finland,finland70.3@ironman.com,The Heart of Lakeland,
5150 Bela Bela,08/15/2020,Bela Bela,,Triathlon,Olympic,1.5 km,40 km,10 km,https://www.ironman.com/5150-bela-bela?_ga=2.147492087.136374545.1576035709-1001469344.1575427030,belabela@5150.com,Bushveld Bash,
IRONMAN Kalmar,08/15/2020,Kalmar,,Triathlon,IM,3.8 km,180.2 km,42.2 km,https://www.ironman.com/im-kalmar,kalmar@ironman.com,Wild Scandinavian Beauty,
IRONMAN 70.3 Bintan,08/16/2020,Island of Bintan,,Triathlon,HIM,1.9 km,,,https://www.ironman.com/im703-bintan,,An Award-Winning Course in Paradise,
IRONMAN Copenhagen,08/16/2020,Copenhagen,,Triathlon,IM,3.8 km,180 km,42.2 km,https://www.ironman.com/im-copenhagen,copenhagen@ironman.com,Capital City Sightseeing Adventure,
IRONMAN 70.3 Vichy,08/22/2020,Vichy,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-vichy,vichy@ironman.com,SWIM BIKE RUN RELAX in the Queen of Spas Town,
IRONMAN 70.3 Astana,08/23/2020,Astana,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-astana,info.astana70.3@ironman.com,Where Europe meets Asia,
IRONMAN 70.3 Panama,08/23/2020,Panama City,,Triathlon,HIM,1.9 km,90 km,21 km,https://www.ironman.com/im703-panama,panama70.3@ironman.com,Panoramic Canal Views,
IRONMAN Mont-Tremblant,08/23/2020,Mont - Tremblant,Quebec,Triathlon,IM,3.8 km,180 km,42.2 km,https://www.ironman.com/im-mont-tremblant,monttremblant@ironman.com,A Triathlete's Dream,
IRONMAN Vichy,08/23/2020,Vichy,,Triathlon,IM,3.8 km,180 km,42.2 km,https://www.ironman.com/im-vichy,vichy@ironman.com,Nostalgic French elegance,
IRONMAN Kazakhstan,08/23/2020,Nur - Sultan,,Triathlon,IM,3.8 km,180.2 km,42.2 km,https://www.ironman.com/im-kazakhstan,info.astana70.3@ironman.com,Where Europe and Asia meet,
IRONMAN 70.3 Duisburg,08/23/2020,Duisburg,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-duisburg,duisburg70.3@ironman.com,Steel Heart of Europe,
IRONMAN 70.3 Zell am See Kaprun,08/30/2020,,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-zell-am-see,zell-kaprun70.3@ironman.com,Glacial glamour in stunning Salzburgerland,
IRONMAN 70.3 Maine,08/30/2020,Old Orchard Beach,Maine,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-maine,Maine70.3@ironman.com,Family-Friendly Beach Town Getaway,
IRONMAN 70.3 Traverse City,08/30/2020,Traverse City,Michigan ,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-traverse-city,traversecity70.3@ironman.com,A Hidden Gem,
IRONMAN Canada-Penticton,08/30/2020,Penticton,British Columbia,Triathlon,IM,,,,https://www.ironman.com/im-canada,canada@ironman.com,The Legend Returns,coming soon
IRONMAN 70.3 Slovenian Istria,09/06/2020,,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-slovenian-istria,slovenia70.3@ironman.com,Lose yourself in the Landscapes,
IRONMAN Wales,09/06/2020,Pembrokeshire,,Triathlon,IM,3.8 km,180.2 km,42.2 km,https://www.ironman.com/im-wales,wales@ironman.com,The Untouched Charm of West Wales,
IRONMAN 70.3 Sao Paulo,09/6/2020,Sao Paulo,,Triathlon,HIM,1.9 km,90.1 km,21.1 km,https://www.ironman.com/im703-sao-paulo?_ga=2.208896978.136374545.1576035709-1001469344.1575427030,saopaulo70.3@ironman.com,The Cultural Center of Brazil,
IRONMAN 70.3 Nice,09/13/2020,Nice,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-nice,nice70.3@ironman.com,Unique. Historique. Légendaire.,
IRONMAN 70.3 Atlantic City,09/13/2020,Atlantic City,New Jersey,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-atlantic-city?_ga=2.149054198.1785740034.1580048703-1001469344.1575427030,atlanticcity70.3@ironman.com,Race the Shore,
IRONMAN 70.3 Lake Placid,09/13/2020,Lake Placid,New York,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-lake-placid,lakeplacid70.3@ironman.com,An Iconic North American Triathlon Destination,
IRONMAN 70.3 Santa Cruz,09/13/2020,Santa Cruz,California,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-santa-cruz,santacruz70.3@ironman.com,Surf City Experience,
IRONMAN 70.3 Sunshine Coast,09/13/2020,Mooloolaba,Quensland,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-sunshine-coast,sunshinecoast@ironman.com,The best of everything,
IRONMAN Wisconsin,09/13/2020,Madison ,Wisconsin,Triathlon,IM,2.4 mi,112 mi,26.2 mi,https://www.ironman.com/im-wisconsin,wisconsin@ironman.com,The Relentless Spirit of Madison,
IRONMAN Italy Emilia-Romagna,09/19/2020,,Cervia,Triathlon,IM,3.8 km,180 km,42 km,https://www.ironman.com/im-emilia-romagna,italy@ironman.com,Quintessential Italian village vibe ,
IRONMAN Maryland,09/19/2020,Cambridge,Maryland,Triathlon,IM,2.4 mi,112 mi,26.2 mi,https://www.ironman.com/im-maryland,maryland@ironman.com,Unmatched Community,
IRONMAN 70.3 Italy Emilia-Romagna,09/20/2020,,Cervia,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-emilia-romagna,italy70.3@ironman.com,Historic Italian Beach Resort,
IRONMAN 70.3 Weymouth,09/20/2020,Dorset,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-weymouth,weymouth70.3@ironman.com,Jewel of the Jurrasic Coast,
