Name,Date,Location/City,State,Category,Distance,Website/Registration Link,Contact Email,Summary,,,
Leprechaun Lane Milwaukee 10K,"Mar 22, 2020",Milwaukee,Wisconsin,running,10km,https://runsignup.com/Race/WI/Milwaukee/LeprechaunLaneMilwaukee?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"Join us for the annual Leprechaun Lane, a St. Patrick’s themed run that is perfect for the whole family. The fun includes great swag (designer shirt, custom medal), chip-timing, live results and awards, free photos, costumes, free kids' dash, great post-race food, and plenty of fun activities. Grab your friends and family, because you are not going to want to miss this one!",,,
St. Pat's Benefit Run 10M,"Mar 22, 2020",Kimberly,Wisconsin,running,10m,https://www.active.com/kimberly-wi/running/distance-running-races/nicolet-bank-st-pat-s-benefit-run-2020?afid=156210&ltcmp=254301&ltclickid=03_39581741_d98b9a89-18e4-4ab3-aa5b-11b803e83a2a&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,,Nicolet Bank St. Pat's Benefit Run/WalkBenefit the Kimberly Fire Fighters,,,
St. Pat's Benefit Run 5K,"Mar 22, 2020",Kimberly,Wisconsin,running,5km,https://www.active.com/kimberly-wi/running/distance-running-races/nicolet-bank-st-pat-s-benefit-run-2020?afid=156210&ltcmp=254301&ltclickid=03_39581741_d98b9a89-18e4-4ab3-aa5b-11b803e83a2a&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,,Nicolet Bank St. Pat's Benefit Run/WalkBenefit the Kimberly Fire Fighters,,,
Badger State 10K,"Mar 28, 2020",Green Bay,Wisconsin,running,10km,https://www.raceentry.com/races/badger-state-10k-and-one-mile-walk/2020/register,events@runawayshoes.net,Enjoy running through the neighborhoods near Lambeau Field and post-race Badger State Brewing Co. Beer! ,,,
Fifty Furlong,"Mar 28, 2020",Paoli,Wisconsin,running,6.3m,https://www.50furlong.madisonh3.com/,letsdisco79@yahoo.com,,No summary,,
Howard Temin Lakeshore Path parkrun,"Mar 28, 2020",Madison,Wisconsin,running,5km,https://www.parkrun.us/howardteminlakeshorepath/,howardteminlakeshorepath@parkrun.com,It is a 5km run - it's you against the clock.,,,
Mushing for Meals Run 10K,"Mar 28, 2020",Beloit,Wisconsin,running,10km,https://mushingformeals.itsyourrace.com/register/,,JOIN US for your first race of the spring. How many other races are led off by a real sled dog mushing team?! Run individually or form your own mushing team of three runners. ,,,
Mushing for Meals Run 5K,"Mar 28, 2020",Beloit,Wisconsin,running,5km,https://mushingformeals.itsyourrace.com/register/,,JOIN US for your first race of the spring. How many other races are led off by a real sled dog mushing team?! Run individually or form your own mushing team of three runners. ,,,
First Call Half Marathon 10K,"Mar 29, 2020",Waukesha,Wisconsin,running,10km,https://runsignup.com/Race/Info/WI/Waukesha/FristCall,,Get the year started off right with a super fast and flat course.  The paved Glacial Drumlin Trail is perfect for an early year PR and then see if you can crush it at the Last Call in December on the same course.,,,
First Call Half Marathon 5K,"Mar 29, 2020",Waukesha,Wisconsin,running,5km,https://runsignup.com/Race/Info/WI/Waukesha/FristCall,,Get the year started off right with a super fast and flat course.  The paved Glacial Drumlin Trail is perfect for an early year PR and then see if you can crush it at the Last Call in December on the same course.,,,
First Call Half Marathon 13.1M,"Mar 29, 2020",Waukesha,Wisconsin,running,13.1m,https://runsignup.com/Race/Info/WI/Waukesha/FristCall,,Get the year started off right with a super fast and flat course.  The paved Glacial Drumlin Trail is perfect for an early year PR and then see if you can crush it at the Last Call in December on the same course.,,,
First Call Half Marathon 1K,"Mar 29, 2020",Waukesha,Wisconsin,running,1km,https://runsignup.com/Race/Info/WI/Waukesha/FristCall,,Get the year started off right with a super fast and flat course.  The paved Glacial Drumlin Trail is perfect for an early year PR and then see if you can crush it at the Last Call in December on the same course.,,,
Two Rivers 10 Mile - 10M,"Mar 29, 2020",Two Rivers,Wisconsin,running,10m,https://runsignup.com/Race/WI/TwoRivers/AuroraHealthCareTwoRivers10Mile?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,hello@tworivers10mile.com,"8th Annual Aurora Health Care Two Rivers 10-Mile Run, 3-Person Relay, 2-Mile Run/Walk, and 1/3 Mile Kids’ Run",,,
Two Rivers 10 Mile - 2M,"Mar 29, 2020",Two Rivers,Wisconsin,running,2m,https://runsignup.com/Race/WI/TwoRivers/AuroraHealthCareTwoRivers10Mile?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,hello@tworivers10mile.com,"8th Annual Aurora Health Care Two Rivers 10-Mile Run, 3-Person Relay, 2-Mile Run/Walk, and 1/3 Mile Kids’ Run",,,
April Fools 5K,"Apr 3, 2020",Appleton,Wisconsin,running,5km,https://runsignup.com/Race/WI/Appleton/AprilFools?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,Join us for this fun and competitive 5k Run / Walk on our certified course starting at OSI and finishing at Appleton North High School.,,,
Black Earth 10 Mile Run - 10M,"Apr 4, 2020",Black Earth,Wisconsin,running,10m,https://secure.athenstoatlantis.com/Register/index.php?sessionID=d094b7927bf80c8dec32303d5ac79388095aafd6e88ec926294282233396cc196c687c2505471d95170ce08a1654e7ce88e1f1b98a8db4838b52431b5ee7d3ef&registerOption=12,,"The Black Earth 10 Quasi Classic Run is...A very affordable and accurate 10 mile and 2 mile running/walking event held in the scenic area of Black Earth, WI (just 20 miles west of Madison).",,,
Black Earth 10 Mile Run - 2M,"Apr 4, 2020",Black Earth,Wisconsin,running,2m,https://secure.athenstoatlantis.com/Register/index.php?sessionID=d094b7927bf80c8dec32303d5ac79388095aafd6e88ec926294282233396cc196c687c2505471d95170ce08a1654e7ce88e1f1b98a8db4838b52431b5ee7d3ef&registerOption=12,,"The Black Earth 10 Quasi Classic Run is...A very affordable and accurate 10 mile and 2 mile running/walking event held in the scenic area of Black Earth, WI (just 20 miles west of Madison).",,,
Bucky's Race for Rehab 5K,"Apr 4, 2020",Madison,Wisconsin,running,5km,https://runsignup.com/Race/WI/Madison/BuckysRaceforRehab2020RunWheelWalk?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,Bucky's Race for Rehab is a traditional 5K run/walk and 3K wheel/walk that encourages participation from community members of all backgrounds and abilities! ,,,
Bucky's Race for Rehab 3K,"Apr 4, 2020",Madison,Wisconsin,running,3km,https://runsignup.com/Race/WI/Madison/BuckysRaceforRehab2020RunWheelWalk?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,Bucky's Race for Rehab is a traditional 5K run/walk and 3K wheel/walk that encourages participation from community members of all backgrounds and abilities! ,,,
Bunny Trail 5K,"Apr 4, 2020",Lake Geneva,Wisconsin,running,5km,https://www.active.com/lake-geneva-wi/running/distance-running-races/bunny-trail-5k-2020?afid=156210&ltcmp=254301&ltclickid=03_39596314_8c153827-596d-440e-85d2-1719fc4f707b&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,,"Be a part of the second annual Bunny Trail 5K to support Boy Scout Troop 239 in Lake Geneva, WI. ",,,
Decide. Commit. Succeed. 5K Racing Series - Superhero Sprint,"Apr 4, 2020",New Richmond,Wisconsin,running,5km,http://www.nracentre.com/sports/racing-series/,,"Decide. Commit. Succeed. Don’t let your training suffer in the off months, train all year! The course will be adjusted for each race to provide some variety in the runs. Strollers and leashed dogs welcome.",,,
Good Soul 5K,"Apr 4, 2020",Eau Claire,Wisconsin,running,5km,https://runsignup.com/Race/WI/EauClaire/GoodSoul5k?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,jeffrogersfit@gmail.com,"The Good Soul 5k’s purpose is not only to promote the exponential benefits of running & friendship, but to promote ALL THINGS GOOD FOR HEALTH. ",,,
Howard Temin Lakeshore Path parkrun,"Mar 28, 2020",Madison,Wisconsin,running,5km,https://www.parkrun.us/howardteminlakeshorepath/,howardteminlakeshorepath@parkrun.com,It is a 5km run - it's you against the clock.,,,
Only Fools Run at Midnight,"Apr 4, 2020",Minocqua,Wisconsin,running,5km,https://blueravenraceproductions.redpodium.com/2020-only-fools-run-at-midnight,rick@blueravenproductions.com,"Join us for the Only Fools Run at Midnight 5K Run/Walk on Saturday, April 4 at 10:00 pm at Lakeland Union High School.   Come in Costume! ",,,
South Shore Half Marathon,"Apr 4, 2020",Milwaukee,Wisconsin,running,13.1m,https://runsignup.com/Race/WI/Milwaukee/SouthShoreHalfMarathon2020?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"Get registered and put this on your calendar now!  The Badgerland Strider South Shore Half Marathon is the most budget friendly half marathon you’ll find.  In fact, for BLS members, it’s less than $1 per mile!!",,,
Trailbreaker Marathon 26.2M,"Apr 4, 2020",Waukesha,Wisconsin,running,26.2m,https://runsignup.com/Race/Info/WI/Waukesha/Trailbreaker,,"Looking for a flat, fast marathon?  The Trailbreaker is now offering a second course option!  You can run our alternate certified, Boston qualifying course on a paved trail that is flat and fast.  ",,,
Trailbreaker Marathon 13.1M,"Apr 4, 2020",Waukesha,Wisconsin,running,13.1m,https://runsignup.com/Race/Info/WI/Waukesha/Trailbreaker,,"Looking for a flat, fast marathon?  The Trailbreaker is now offering a second course option!  You can run our alternate certified, Boston qualifying course on a paved trail that is flat and fast.  ",,,
Trailbreaker Marathon 10K,"Apr 4, 2020",Waukesha,Wisconsin,running,10km,https://runsignup.com/Race/Info/WI/Waukesha/Trailbreaker,,"Looking for a flat, fast marathon?  The Trailbreaker is now offering a second course option!  You can run our alternate certified, Boston qualifying course on a paved trail that is flat and fast.  ",,,
Trailbreaker Marathon 5K,"Apr 4, 2020",Waukesha,Wisconsin,running,5km,https://runsignup.com/Race/Info/WI/Waukesha/Trailbreaker,,"Looking for a flat, fast marathon?  The Trailbreaker is now offering a second course option!  You can run our alternate certified, Boston qualifying course on a paved trail that is flat and fast.  ",,,
Via Dolorosa Trail Marathon 26.2M,"Apr 4, 2020",Hubertus,Wisconsin,running,26.2m,https://www.active.com/hubertus-wi/running/distance-running/via-dolorosa-trail-marathon-half-marathon-and-10k-2020?afid=156210&ltcmp=254301&ltclickid=03_39602757_ae67a186-9d53-4538-bbb8-5afa37c061b4&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,,"The Via Dolorosa Marathon takes runners on their own ""Way of Suffering"" on a very difficult up and down course with somewhat challenging footing at times. ",,,
Via Dolorosa Trail Marathon 13.1M,"Apr 4, 2020",Hubertus,Wisconsin,running,13.1m,https://www.active.com/hubertus-wi/running/distance-running/via-dolorosa-trail-marathon-half-marathon-and-10k-2020?afid=156210&ltcmp=254301&ltclickid=03_39602757_ae67a186-9d53-4538-bbb8-5afa37c061b4&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,,"The Via Dolorosa Marathon takes runners on their own ""Way of Suffering"" on a very difficult up and down course with somewhat challenging footing at times. ",,,
Via Dolorosa Trail Marathon 10K,"Apr 4, 2020",Hubertus,Wisconsin,running,10km,https://www.active.com/hubertus-wi/running/distance-running/via-dolorosa-trail-marathon-half-marathon-and-10k-2020?afid=156210&ltcmp=254301&ltclickid=03_39602757_ae67a186-9d53-4538-bbb8-5afa37c061b4&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,,"The Via Dolorosa Marathon takes runners on their own ""Way of Suffering"" on a very difficult up and down course with somewhat challenging footing at times. ",,,
Dirty Dog Dare 9M,"Apr 5, 2020",Kansasville,Wisconsin,running,9m,https://www.raceentry.com/races/dirty-dog-dare/2020/register,riant@kenosharunningcompany.com,The Dirty Dog Dare is the final event of the 2019-20 CaniCross season and will be the perfect final test of you and your pup's fitness. We have thrown down the gauntlet and picked the perfect trails at Richard Bong State Recreation Area. ,,,
